Student_ID,Gender,Age,City,College_Tier,Branch,Graduation_Year,Tenth_Percentage,Twelfth_Percentage,Diploma_Percentage,CGPA,Backlogs,Internship_Experience,Internship_Duration_Months,Projects_Count,Innovative_Project,Technical_Courses_Count,Primary_Skill,Secondary_Skill,SQL_Skill_Level,PowerBI_Skill_Level,Python_Skill_Level,Communication_Score,Aptitude_Score,Coding_Score,English_Score,Attendance_Percentage,Placement_Training,Mock_Interview_Score,Applied_Companies,Shortlisted_Companies,Interview_Rounds_Attended,Placement_Status,Company_Tier,Job_Role,Package_LPA,Placement_Channel,Offer_Date
STU20260001,Female,20,Noida,Tier 2,Electrical,2026,79.0,74.9,,7.99,0,Yes,2,3,No,1,Tableau,Excel,Advanced,Beginner,Intermediate,69.4,63.3,73.0,64.8,76.8,Yes,61.5,16,11,2,Placed,Tier 3,Software Engineer,5.11,Campus Drive,2026-06-20
STU20260002,Female,21,Noida,Tier 1,Civil,2026,95.6,92.1,,8.84,1,Yes,2,4,No,2,Excel,Python,Advanced,Advanced,Advanced,56.5,62.2,98,56.6,75.7,Yes,66.1,7,5,0,Not Placed,,,,,
STU20260003,Female,22,Dehradun,Tier 2,Electronics,2026,68.4,63.6,,6.19,1,No,0,0,No,2,Cloud Basics,Power BI,Beginner,None,None,72.9,65.5,65.4,53.4,81.7,No,67.3,4,0,0,Not Placed,,,,,
STU20260004,Female,22,Faridabad,Tier 2,Civil,2024,66.9,68.4,,7.25,0,Yes,6,3,No,2,Tableau,Power BI,Beginner,Intermediate,Advanced,86.7,88.9,52.2,59.0,72.7,Yes,53.8,23,12,1,Not Placed,,,,,
STU20260005,Male,22,Mumbai,Tier 3,Mechanical,2024,80.7,68.3,,5.45,0,No,0,3,No,1,Java,Machine Learning,Beginner,None,None,49.2,51.5,60.3,68.0,67.8,Yes,56.6,20,3,2,Not Placed,,,,,
STU20260006,Female,20,Noida,Tier 3,Computer Science,2024,87.8,81.7,,8.57,0,Yes,3,2,No,1,Java,SQL,Intermediate,Advanced,Advanced,78.6,74.9,81.6,61.1,81.6,Yes,47.9,15,11,2,Placed,Tier 3,Data Analyst,4.18,Referral,2026-01-25
STU20260007,Female,20,Ghaziabad,Tier 2,Electronics,2024,58.1,72.1,,7.48,0,No,0,1,No,0,Excel,Java,Beginner,None,Intermediate,56.8,73.7,67.2,72.9,82.6,No,55.6,13,3,0,Not Placed,,,,,
STU20260008,Female,21,Bengaluru,Tier 2,Mechanical,2024,73.3,81.5,,8.67,0,Yes,3,3,Yes,3,Java,Cloud Basics,Advanced,Advanced,Intermediate,32.5,81.4,74.2,51.3,84.6,No,65.3,19,6,2,Placed,Tier 3,Data Engineer Intern,5.23,Campus Drive,2026-05-10
STU20260009,Female,20,Pune,Tier 2,Data Science,2026,66.9,68.5,,7.54,0,No,0,3,Yes,2,Machine Learning,Excel,Beginner,Intermediate,Beginner,89.5,63.2,61.9,64.2,79.0,Yes,57.6,15,7,2,Not Placed,,,,,
STU20260010,Male,22,Jaipur,Tier 1,Computer Science,2025,93.9,83.4,,9.05,0,Yes,4,4,No,2,SQL,Tableau,Advanced,Advanced,Advanced,86.2,72.6,75.6,69.3,76.1,No,75.4,1,1,2,Placed,Tier 2,QA Analyst,8.56,Campus Drive,2026-04-12
